Species,bird,carrion,egg,fish,fruit,hard_invert,herptile,large_mammal,plant,root,seed,small_mammal,soft_invert
Fossa_fossana,2.06293827,1.676855905,1.82280601,1.195654199,1.647862616,3.872965169,2.551408078,1.044355624,1.573752518,1.114000548,1.49674511,2.723371281,2.961337884
Galictis_cuja,2.909586041,1.507373903,1.557512846,2.380151087,1.865439635,3.231947238,2.781830641,1.118480994,1.215589006,1.131549828,1.230012649,3.823534464,2.689927693
Gulo_gulo,2.25777399,2.307963477,1.530865786,2.252799034,2.343967748,2.264034429,1.899435519,2.399889997,1.321120574,1.08898043,1.160812701,3.348866143,2.090866093
Helarctos_malayanus,1.780824429,2.00420464,1.387536209,1.722594101,3.558530207,3.028759929,1.21046057,1.542196541,2.736288508,1.57129863,1.458987157,2.053901413,2.617103198
Helogale_parvula,2.351846023,1.537121653,2.206440033,1.145191672,2.137726746,3.947557641,2.928254458,1.008171518,1.311327849,1.099953649,1.401533504,3.196745471,3.638124533
Hyaena_hyaena,2.122410809,2.555722135,1.236793115,1.360943465,2.432254205,2.223385875,2.370094498,2.593223069,1.296904202,1.045813711,1.073946867,2.781229677,1.439715581
Hydrictis_maculicollis,2.297609062,1.444491791,1.458171376,3.175533278,1.547263749,3.574678033,2.720285935,1.21166971,1.770633444,1.117325102,1.259127415,3.069414525,2.83758228
Ichneumia_albicauda,1.920090611,1.832623168,1.819863773,1.281583156,2.19144532,3.835323598,2.464653099,1.074592741,1.654729766,1.132978393,1.47254614,2.491099114,3.125989385
Leopardus_wiedii,3.259653046,1.432206875,1.115931694,1.387391068,1.620054841,1.990082699,2.47014541,2.071070035,1.410638024,1.054917231,1.086484051,3.958461017,1.311899068
Leptailurus_serval,3.247385161,1.440437621,1.125722222,1.399847203,1.448881893,2.075804167,2.487899887,2.080532603,1.536866738,1.0547166,1.088628298,3.958777203,1.321072365
Lontra_canadensis,1.922066661,1.490503925,1.377137155,3.144407761,1.955420755,3.345310694,2.399468691,1.163198977,1.545532012,1.194779064,1.224373502,2.463284627,2.233163447
Lutra_lutra,2.136047412,1.498344223,1.515509753,3.282916923,1.864160252,3.177295594,2.253621968,1.399992986,1.473399766,1.128376133,1.235327259,2.85159095,2.090894917
